ID	FEATURES
<ice-ind:s1a-044#189:1:a>	#N/A
<ice-ind:s1a-063#171:1:a>	#N/A
<ice-ind:s1a-094#367:3:a>	#N/A
<ice-ind:s1a-092#56:1:b>	#N/A
<ice-ind:s1a-039#248:1:b>	lack of agreement
<ice-ind:s1a-011#119:1:g>	article omission, object fronting
<ice-ind:s1a-023#198:1:b>	#N/A
<ice-ind:s1a-005#21:1:a>	#N/A
<ice-ind:s1a-048#82:1:b>	direct object prodrop, lack of agreement
<ice-ind:s1a-043#106:1:a>	article omission
<ice-ind:s1a-029#278:1:c>	direct object prodrop
<ice-ind:s1a-098#178:1:a>	#N/A
<ice-ind:s1a-072#115:1:a>	left dislocation, invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-083#126:1:b>	article omission, invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-096#479:4:a>	#N/A
<ice-ind:s1a-025#176:1:b>	invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-091#236:1:c>	#N/A
<ice-ind:s1a-078#1:1:a>	extraneous article
<ice-ind:s1a-045#140:1:a>	article omission
<ice-ind:s1a-028#86:1:a>	preposition omission, extraneous article
<ice-ind:s1a-028#86:1:a>	#N/A
<ice-ind:s1a-001#138:1:a>	extraneous article
<ice-ind:s1a-001#148:1:a>	#N/A
<ice-ind:s1a-063#46:1:b>	article omission
<ice-ind:s1a-043#77:1:a>	article omission
<ice-ind:s1a-014#187:1:b>	#N/A
<ice-ind:s1a-073#266:1:a>	direct object prodrop
<ice-ind:s1a-023#142:1:a>	article omission
<ice-ind:s1a-067#232:1:a>	#N/A
<ice-ind:s1a-094#49:1:a>	#N/A
<ice-ind:s1a-024#5:1:c>	#N/A
<ice-ind:s1a-062#61:1:a>	#N/A
<ice-ind:s1a-097#386:3:a>	#N/A
<ice-ind:s1a-075#106:1:a>	#N/A
<ice-ind:s1a-086#31:1:a>	article omission, non-initial existential
<ice-ind:s1a-068#91:1:b>	article omission
<ice-ind:s1a-037#125:1:a>	article omission
<ice-ind:s1a-041#264:1:a>	article omission, invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-081#107:1:b>	#N/A
<ice-ind:s1a-096#50:1:b>	#N/A
<ice-ind:s1a-099#394:2:c>	#N/A
<ice-ind:s1a-021#279:1:a>	article omission, lack of agreement, mass nouns as count nouns
<ice-ind:s1a-064#43:1:b>	#N/A
<ice-ind:s1a-033#9:1:b>	article omission
<ice-ind:s1a-097#118:2:a>	#N/A
<ice-ind:s1a-098#383:1:a>	#N/A
<ice-ind:s1a-096#388:4:b>	#N/A
<ice-ind:s1a-100#286:1:a>	#N/A
<ice-ind:s1a-083#105:1:a>	#N/A
<ice-ind:s1a-055#220:1:a>	#N/A
<ice-ind:s1a-010#186:1:a>	direct object prodrop, general extender 'and all'
<ice-ind:s1a-041#249:1:a>	direct object prodrop, object fronting
<ice-ind:s1a-082#233:1:b>	#N/A
<ice-ind:s1a-046#101:1:b>	#N/A
<ice-ind:s1a-017#118:1:a>	article omission, non-initial existential, invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-019#207:1:a>	#N/A
<ice-ind:s1a-001#77:1:b>	#N/A
<ice-ind:s1a-028#244:1:a>	#N/A
<ice-ind:s1a-022#157:1:b>	#N/A
<ice-ind:s1a-085#18:1:b>	lack of agreement, left dislocation, invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-003#4:1:a>	object fronting
<ice-ind:s1a-004#217:1:b>	#N/A
<ice-ind:s1a-017#228:1:c>	object fronting
<ice-ind:s1a-033#7:1:b>	#N/A
<ice-ind:s1a-019#15:1:b>	#N/A
<ice-ind:s1a-003#100:1:b>	lack of inversion in wh-questions
<ice-ind:s1a-045#112:1:a>	extraneous article
<ice-ind:s1a-045#112:1:a>	article omission, lack of agreement
<ice-ind:s1a-098#367:1:a>	#N/A
<ice-ind:s1a-029#263:1:b>	#N/A
<ice-ind:s1a-061#86:1:b>	focus 'itself'
<ice-ind:s1a-004#265:1:b>	#N/A
<ice-ind:s1a-003#177:1:a>	object fronting
<ice-ind:s1a-004#256:1:b>	#N/A
<ice-ind:s1a-008#33:1:b>	direct object prodrop
<ice-ind:s1a-046#75:1:b>	preposition omission
<ice-ind:s1a-053#226:1:a>	#N/A
<ice-ind:s1a-009#8:1:a>	#N/A
<ice-ind:s1a-013#64:1:b>	#N/A
<ice-ind:s1a-070#251:1:a>	#N/A
<ice-ind:s1a-048#104:1:c>	#N/A
<ice-ind:s1a-077#323:1:b>	lack of agreement
<ice-ind:s1a-077#323:1:b>	article omission
<ice-ind:s1a-056#195:1:c>	#N/A
<ice-ind:s1a-012#150:1:b>	#N/A
<ice-ind:s1a-009#114:1:a>	#N/A
<ice-ind:s1a-080#229:1:b>	#N/A
<ice-ind:s1a-046#2:1:b>	#N/A
<ice-ind:s1a-066#221:1:a>	#N/A
<ice-ind:s1a-038#230:1:a>	lack of agreement
<ice-ind:s1a-040#99:1:b>	#N/A
<ice-ind:s1a-048#85:1:c>	extraneous article
<ice-ind:s1a-046#149:1:b>	object fronting
<ice-ind:s1a-047#97:1:b>	#N/A
<ice-ind:s1a-073#12:1:b>	invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-091#147:1:b>	#N/A
<ice-ind:s1a-012#55:1:a>	#N/A
<ice-ind:s1a-100#231:1:b>	#N/A
<ice-ind:s1a-008#145:1:b>	article omission
<ice-ind:s1a-030#160:1:a>	#N/A
<ice-ind:s1a-076#210:1:a>	#N/A
<ice-ind:s1a-090#150:1:b>	#N/A
<ice-ind:s1a-086#135:1:a>	#N/A
<ice-ind:s1a-063#228:1:b>	#N/A
<ice-ind:s1a-033#162:1:b>	#N/A
<ice-ind:s1a-089#84:1:a>	object fronting
<ice-ind:s1a-056#138:1:b>	#N/A
<ice-ind:s1a-054#226:1:a>	direct object prodrop, focus 'only'
<ice-ind:s1a-003#74:1:a>	#N/A
<ice-ind:s1a-094#178:2:b>	#N/A
<ice-ind:s1a-086#158:1:a>	invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-072#11:1:a>	lack of agreement, invariant tag ('isn't it', 'no', 'na'), extraneous article
<ice-ind:s1a-009#68:1:b>	#N/A
<ice-ind:s1a-061#92:1:b>	#N/A
<ice-ind:s1a-008#70:1:a>	article omission, non-initial existential
<ice-ind:s1a-057#80:1:a>	#N/A
<ice-ind:s1a-041#357:1:a>	article omission, PP fronting with reduction, invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-092#200:1:b>	#N/A
<ice-ind:s1a-093#158:1:a>	lack of agreement, extraneous article
<ice-ind:s1a-090#37:1:a>	article omission
<ice-ind:s1a-031#224:1:a>	#N/A
<ice-ind:s1a-066#100:1:b>	direct object prodrop, object fronting, preposition omission
<ice-ind:s1a-002#201:1:b>	#N/A
<ice-ind:s1a-082#224:1:a>	#N/A
<ice-ind:s1a-082#224:1:a>	extraneous article
<ice-ind:s1a-098#133:1:a>	#N/A
<ice-ind:s1a-028#6:1:b>	#N/A
<ice-ind:s1a-060#56:1:b>	focus 'itself'
<ice-ind:s1a-030#262:1:b>	#N/A
<ice-ind:s1a-058#128:1:b>	#N/A
<ice-ind:s1a-032#62:1:b>	#N/A
<ice-ind:s1a-088#107:1:b>	#N/A
<ice-ind:s1a-059#73:1:b>	general extender 'and all'
<ice-ind:s1a-094#450:3:a>	#N/A
<ice-ind:s1a-004#18:1:b>	#N/A
<ice-ind:s1a-004#18:1:b>	#N/A
<ice-ind:s1a-004#18:1:b>	left dislocation
<ice-ind:s1a-004#18:1:b>	left dislocation
<ice-ind:s1a-004#18:1:b>	lack of agreement
<ice-ind:s1a-072#67:1:b>	#N/A
<ice-ind:s1a-001#186:1:a>	lack of agreement, invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-029#74:1:a>	#N/A
<ice-ind:s1a-010#120:1:c>	article omission, direct object prodrop, lack of agreement, left dislocation
<ice-ind:s1a-034#38:1:a>	preposition omission, inversion in embedded clause
<ice-ind:s1a-097#154:2:b>	#N/A
<ice-ind:s1a-061#159:1:b>	article omission
<ice-ind:s1a-071#9:1:a>	#N/A
<ice-ind:s1a-053#15:1:b>	#N/A
<ice-ind:s1a-060#9:1:b>	#N/A
<ice-ind:s1a-040#14:1:b>	object fronting
<ice-ind:s1a-059#104:1:a>	#N/A
<ice-ind:s1a-003#266:1:a>	#N/A
<ice-ind:s1a-003#266:1:a>	lack of agreement, left dislocation
<ice-ind:s1a-086#139:1:b>	PP fronting with reduction, preposition omission
<ice-ind:s1a-029#63:1:c>	#N/A
<ice-ind:s1a-087#73:1:a>	focus 'only', object fronting
<ice-ind:s1a-001#236:1:b>	#N/A
<ice-ind:s1a-036#304:1:b>	PP fronting with reduction
<ice-ind:s1a-065#123:1:a>	#N/A
<ice-ind:s1a-082#243:1:a>	#N/A
<ice-ind:s1a-056#168:1:c>	article omission, invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-086#13:1:a>	stative progressive
<ice-ind:s1a-075#102:1:a>	article omission, stative progressive
<ice-ind:s1a-099#29:1:b>	#N/A
<ice-ind:s1a-018#3:1:b>	#N/A
<ice-ind:s1a-047#256:1:a>	#N/A
<ice-ind:s1a-011#87:1:d>	#N/A
<ice-ind:s1a-070#35:1:b>	article omission
<ice-ind:s1a-045#133:1:a>	left dislocation, extraneous article
<ice-ind:s1a-045#133:1:a>	#N/A
<ice-ind:s1a-045#133:1:a>	#N/A
<ice-ind:s1a-086#136:1:a>	#N/A
<ice-ind:s1a-094#298:3:a>	#N/A
<ice-ind:s1a-010#175:1:a>	article omission
<ice-ind:s1a-048#4:1:c>	#N/A
<ice-ind:s1a-011#172:1:f>	#N/A
<ice-ind:s1a-078#39:1:a>	#N/A
<ice-ind:s1a-078#39:1:a>	#N/A
<ice-ind:s1a-071#189:1:b>	#N/A
<ice-ind:s1a-094#4:1:b>	#N/A
<ice-ind:s1a-011#135:1:c>	#N/A
<ice-ind:s1a-068#90:1:a>	article omission
<ice-ind:s1a-075#30:1:a>	#N/A
<ice-ind:s1a-084#12:1:b>	#N/A
<ice-ind:s1a-036#280:1:a>	#N/A
<ice-ind:s1a-006#56:1:a>	mass nouns as count nouns
<ice-ind:s1a-077#228:1:b>	#N/A
<ice-ind:s1a-076#6:1:a>	object fronting
<ice-ind:s1a-044#107:1:a>	article omission, left dislocation
<ice-ind:s1a-045#182:1:a>	#N/A
<ice-ind:s1a-022#282:1:b>	non-initial existential
<ice-ind:s1a-089#193:1:a>	left dislocation
<ice-ind:s1a-021#215:1:a>	#N/A
<ice-ind:s1a-098#188:1:a>	#N/A
<ice-ind:s1a-046#140:1:a>	#N/A
<ice-ind:s1a-057#197:1:a>	#N/A
<ice-ind:s1a-089#206:1:b>	mass nouns as count nouns, extraneous article
<ice-ind:s1a-089#206:1:b>	article omission, lack of agreement, left dislocation, extraneous article
<ice-ind:s1a-052#183:1:a>	focus 'only', lack of agreement, invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-001#140:1:a>	#N/A
<ice-ind:s1a-069#106:1:b>	#N/A
<ice-ind:s1a-014#166:1:a>	#N/A
<ice-ind:s1a-097#394:3:a>	invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-032#93:1:a>	#N/A
<ice-ind:s1a-086#82:1:a>	article omission
<ice-ind:s1a-011#50:1:g>	preposition omission
<ice-ind:s1a-054#23:1:a>	general extender 'and all'
<ice-ind:s1a-045#33:1:b>	#N/A
<ice-ind:s1a-028#58:1:a>	#N/A
<ice-ind:s1a-078#40:1:a>	#N/A
<ice-ind:s1a-057#129:1:a>	mass nouns as count nouns, extraneous article
<ice-ind:s1a-007#92:1:c>	#N/A
<ice-ind:s1a-037#204:1:a>	article omission, preposition omission
<ice-ind:s1a-023#158:1:a>	#N/A
<ice-ind:s1a-057#62:1:a>	#N/A
<ice-ind:s1a-063#234:1:b>	non-initial existential
<ice-ind:s1a-013#32:1:b>	#N/A
<ice-ind:s1a-074#121:1:a>	#N/A
<ice-ind:s1a-088#167:1:a>	#N/A
<ice-ind:s1a-054#28:1:a>	article omission, general extender 'and all'
<ice-ind:s1a-004#144:1:b>	direct object prodrop, focus 'only'
<ice-ind:s1a-033#232:1:a>	article omission
<ice-ind:s1a-033#227:1:a>	#N/A
<ice-ind:s1a-091#224:1:b>	article omission
<ice-ind:s1a-038#253:1:b>	#N/A
<ice-ind:s1a-097#64:1:b>	#N/A
<ice-ind:s1a-017#47:1:c>	#N/A
<ice-ind:s1a-019#229:2:p>	#N/A
<ice-ind:s1a-027#155:1:c>	article omission
<ice-ind:s1a-031#113:1:c>	#N/A
<ice-ind:s1a-072#128:1:b>	#N/A
<ice-ind:s1a-065#273:1:b>	article omission, PP fronting with reduction
<ice-ind:s1a-085#225:1:b>	mass nouns as count nouns, extraneous article
<ice-ind:s1a-060#145:1:b>	#N/A
<ice-ind:s1a-083#130:1:a>	non-initial existential
<ice-ind:s1a-077#132:1:a>	#N/A
<ice-ind:s1a-040#213:1:b>	lack of agreement, preposition omission, inversion in embedded clause
<ice-ind:s1a-007#198:1:a>	#N/A
<ice-ind:s1a-056#172:1:c>	focus 'itself'
<ice-ind:s1a-004#129:1:b>	non-initial existential
<ice-ind:s1a-050#81:1:b>	#N/A
<ice-ind:s1a-097#210:2:b>	#N/A
<ice-ind:s1a-047#105:1:a>	lack of inversion in wh-questions, mass nouns as count nouns, preposition omission
<ice-ind:s1a-013#51:1:b>	mass nouns as count nouns, extraneous article
<ice-ind:s1a-091#262:1:b>	#N/A
<ice-ind:s1a-076#151:1:b>	#N/A
<ice-ind:s1a-088#219:1:a>	habitual progressive
<ice-ind:s1a-054#213:1:a>	article omission, extraneous article
<ice-ind:s1a-029#245:1:a>	#N/A
<ice-ind:s1a-076#99:1:a>	#N/A
<ice-ind:s1a-078#140:1:a>	#N/A
<ice-ind:s1a-040#32:1:b>	#N/A
<ice-ind:s1a-026#239:1:b>	#N/A
<ice-ind:s1a-028#257:1:b>	#N/A
<ice-ind:s1a-041#314:1:b>	#N/A
<ice-ind:s1a-057#18:1:b>	preposition omission
<ice-ind:s1a-019#43:1:a>	article omission
<ice-ind:s1a-070#304:1:a>	#N/A
<ice-ind:s1a-071#162:1:a>	focus 'only'
<ice-ind:s1a-058#15:1:b>	#N/A
<ice-ind:s1a-046#163:1:c>	#N/A
<ice-ind:s1a-091#357:1:c>	PP fronting with reduction, preposition omission
<ice-ind:s1a-069#149:1:a>	left dislocation
<ice-ind:s1a-086#46:1:a>	direct object prodrop, lack of inversion in wh-questions
<ice-ind:s1a-054#2:1:a>	mass nouns as count nouns, extraneous article
<ice-ind:s1a-072#166:1:b>	#N/A
<ice-ind:s1a-067#214:1:a>	#N/A
<ice-ind:s1a-066#66:1:a>	article omission, lack of agreement, inversion in embedded clause
